Gene	Graph	Position	Df	Sum.Sq	Mean.Sq	F.value	P.value	R2	Intercept	Gradient	logP	Rank	FDR
A_JCVI_10238	1	528	1	11408.0521568358	11408.0521568358	14.9863572985849	0.000309281411276602	0.227112965650951	7.50340347326029	3.79316985483081	3.50964618158944	1	0.0225775430231919
A_JCVI_10398	2	655	1	10306.4770144473	10306.4770144473	13.1656866868999	0.000659612824248303	0.205182666417062	87.6516341714023	-6.29528719392133	3.1807109093554	2	0.0240758680850631
A_JCVI_10097	1	8093	1	7299.81760186669	7299.81760186669	8.67185430556192	0.00485768303809254	0.145325705166726	16.3747642643827	2.4834231261959	2.31357082615054	3	0.118203620593585
A_JCVI_10299	2	4320	1	5695.81404172882	5695.81404172882	6.52266765466549	0.0136817491633913	0.11339299654571	75.122441723858	-0.134970177361918	1.86385837604812	4	0.249691922231891
A_JCVI_10155	1	1837	1	5091.92555233476	5091.92555233476	5.75310208495006	0.0201550254042096	0.10137070703798	12.5058620187268	2.5569946384129	1.69561665010825	5	0.29426337090146
A_JCVI_10173	1	1527	1	4857.97278726072	4857.97278726072	5.46046960525351	0.0234170999784731	0.0967131453817279	7.24991354143183	12.9420113681276	1.63046688984993	6	0.284908049738089
A_JCVI_10216	1	8495	1	4821.86598643665	4821.86598643665	5.41557514335287	0.0239656594808482	0.0959943265594974	25.245303494817	8.10785963913321	1.62041061570401	7	0.249927591728846
A_JCVI_10347	1	7541	1	4690.52546563504	4690.52546563504	5.25286947278877	0.0260721192712204	0.0933795826243094	21.1562468180421	5.87122008787281	1.58382366578645	8	0.237908088349886
A_JCVI_10383	1	613	1	3724.08387448863	3724.08387448863	4.08389457561794	0.0485587797160524	0.0741395394621501	56.8432696525649	-1.63782260885214	1.31373223563222	9	0.393865657696869
A_JCVI_10385	1	7787	1	3630.85729570788	3630.85729570788	3.97369508964582	0.0515783469746507	0.0722835727735948	25.3602481684779	16.0200786542068	1.28753258060234	10	0.37652193291495
A_JCVI_1023	1	698	1	3458.21893437406	3458.21893437406	3.77078601881416	0.0576885872098685	0.0688466661318108	32.5845145972931	2.65643284749249	1.23891009675812	11	0.382842442392764
A_JCVI_10305	1	7422	1	3334.80941878194	3334.80941878194	3.62665333616583	0.0625091038372832	0.066389813665645	11.0661914220496	2.92896718487454	1.204056727322	12	0.380263715010139
A_JCVI_10392	1	8336	1	3052.79178744602	3052.79178744602	3.30010925759095	0.0751541754149707	0.0607753704865632	30.7859836375168	8.38407952388722	1.12404688587804	13	0.422019600407143
A_JCVI_10354	1	4359	1	2763.95407424638	2763.95407424638	2.96969043255488	0.0908967203548583	0.0550251522429252	57.3899200429136	-8.08106819171096	1.0414517862773	14	0.473961470421761
A_JCVI_10415	1	3853	1	2574.30287021395	2574.30287021395	2.7549153140119	0.103093450754582	0.0512495517464576	20.1428052733561	6.71288220147355	0.986768923382721	15	0.501721460338966
A_JCVI_10042	1	7010	1	2329.71352609155	2329.71352609155	2.48043518999356	0.121454028048888	0.0463802357101547	7.39517118582711	5.12735087313624	0.915588077150365	16	0.554134002973051
A_JCVI_10183	1	8157	1	2207.34514193977	2207.34514193977	2.34416172244459	0.131933093695538	0.0439441102222492	27.2457707242052	1.35320216549452	0.87964625368304	17	0.566536225869075
A_JCVI_10149	1	7852	1	1969.28231726738	1969.28231726738	2.08102706742645	0.155253571052849	0.0392047249723148	35.1341600481839	0.174604379160589	0.808958401646001	18	0.629639482603221
A_JCVI_10431	2	1150	1	1949.2164052393	1949.2164052393	2.05896647039384	0.157417129062624	0.0388052502218021	37.3740367149347	1.50637275935421	0.80294801243039	19	0.604813180082713
A_JCVI_10068	2	1565	1	1935.22225275115	1935.22225275115	2.04359205649606	0.158945759595486	0.0385266528390357	33.4707986273861	4.88242400890366	0.798751053838208	20	0.580152022523524
A_JCVI_10394	1	4851	1	1713.15332416254	1713.15332416254	1.80080723048208	0.185559145635721	0.0341056761238769	49.904245648695	-2.31666627847817	0.731517635757428	21	0.645038934828935
A_JCVI_10138	2	3304	1	1646.00458478766	1646.00458478766	1.72783147650754	0.194569076743268	0.0327688704072224	49.2033578947816	-0.645127072247092	0.710926181883275	22	0.645615572829935
A_JCVI_1026	2	1695	1	1495.51739944366	1495.51739944366	1.56501570081881	0.216640948630436	0.0297729522183788	38.8363759272678	3.93609249708214	0.664259451295994	23	0.687599532609645
A_JCVI_10404	1	3228	1	1378.52373497101	1378.52373497101	1.43913044166198	0.23582368142382	0.0274438273392614	28.0843585251042	4.98262935432611	0.627412585181236	24	0.717297030997452
A_JCVI_10063	1	2052	1	1334.00998670274	1334.00998670274	1.39139182422721	0.243643492680627	0.0265576419289512	31.0895925069124	2.01932116802933	0.613245183423403	25	0.711438998627431
A_JCVI_10075	1	7739	1	1295.34508922407	1295.34508922407	1.34999626936177	0.25068757322158	0.0257878961903932	32.248346532066	0.22885842371134	0.600867193824222	26	0.703853570968282
A_JCVI_10286	1	8837	1	1246.65598848294	1246.65598848294	1.29796152516142	0.259908846454472	0.0248185873274802	35.3980235224121	3.56926564384806	0.585178938271297	27	0.702716510784313
A_JCVI_10435	2	208	1	1156.34290235744	1156.34290235744	1.20171601517277	0.278128534391876	0.0230206228244198	28.6789218429251	0.528797107119	0.555754452727989	28	0.725120821807391
A_JCVI_10169	1	4023	1	1123.16992463879	1123.16992463879	1.16645289003335	0.285212441782602	0.0223602109288938	52.1654069055758	-4.39932530331136	0.544831533239276	29	0.717948560349309
A_JCVI_10189	1	4908	1	1100.85638919523	1100.85638919523	1.14276022219336	0.290103536276432	0.0219159902031226	27.4760985883068	0.878599741082777	0.537446977243594	30	0.705918604939318
A_JCVI_10326	2	442	1	849.971621695074	849.971621695074	0.877842828140693	0.353209007191476	0.0169213440707005	24.4978091024664	1.18985958561898	0.451968229999118	31	0.831750242741218
A_JCVI_10297	2	3066	1	732.567993901953	732.567993901953	0.754794909477735	0.389032594450641	0.0145840575892131	53.3421553354543	-2.646352289821	0.410014010507104	32	0.887480606090525
A_JCVI_10317	1	7443	1	665.81903730647	665.81903730647	0.685096853987577	0.411693580850254	0.0132552107994109	56.5492332310552	-1.58579365447508	0.385425904494005	33	0.910716103092986
A_JCVI_10003	2	3363	1	621.422261936252	621.422261936252	0.63884240473191	0.427837215934043	0.0123713541005592	48.8897208547186	-1.34028278394752	0.368721440494251	34	0.918591669505445
A_JCVI_10184	2	2741	1	605.954181084285	605.954181084285	0.622746540772297	0.433681900131565	0.012063413562865	51.6307808092765	-0.849329634885675	0.362828702907766	35	0.904536534560121
A_JCVI_10334	2	1899	1	558.481053273287	558.481053273287	0.573409278209931	0.452391805437395	0.011118312445018	28.8297541278175	1.31403646619517	0.344485270425524	36	0.917350049914718
A_JCVI_10145	1	3431	1	517.970846583253	517.970846583253	0.53138286252505	0.46936051981515	0.0103118300539822	22.2581534464644	2.51223446018634	0.328493443811824	37	0.926035620175837
A_JCVI_10049	1	601	1	502.196924560442	502.196924560442	0.515037078452824	0.476240973977558	0.00999780079102859	50.1292040341887	-2.68608775447889	0.322173242264118	38	0.914883976325309
A_JCVI_10083	1	6512	1	486.419494091872	486.419494091872	0.498698028694853	0.483286477334488	0.0096837016814868	49.2479938057357	-5.19098780409446	0.315795356529182	39	0.904613149882503
A_JCVI_10053	2	2589	1	477.997412124278	477.997412124278	0.489980393444187	0.487116940687745	0.00951603379337411	50.2627201777486	-2.38623664795779	0.312366766508557	40	0.888988416755135
A_JCVI_10019	2	1122	1	470.696485807826	470.696485807826	0.48242564605972	0.490477868184643	0.00937068601577522	51.0123973772062	-2.7162995933659	0.309380584496338	41	0.87328986286534
A_JCVI_10351	2	3169	1	468.969772599263	468.969772599263	0.480639226780143	0.491278326384558	0.00933631038773338	30.3134601770994	1.06279668326778	0.308672395114549	42	0.853888519668398
