Gene	A11_Bie	A135_Reg	A136_Roc	A144_She	A155_Ste	A168_TEM	A176_Ver	A18_Bro	A187_Xia	A188_Zho	A25_Cap	A34_Chu	A42_Dar	A87_Les	A93_Lih	D10_BAL	D102_MAT	D108_MON	D113_NEWH	D117_NOR	D127_PRI	D128_Q10	D131_Raf	D132_RAGJ	D134_RAPCR	D137_ROCxLIZ	D146_SIBB	D170_TIN	D173_TOP	D181_WESD	D182_WILR	D26_CAPxMOH	D3_ALT	D31_CES	D32_CHE_DZA	D39_COR	D4_AMBxCOM	D46_DIP	D55_EUR	D6_APE	D69_HAN	D7_APExGIN	D74_HURxNAV	D75_INCxCON	D76_JANS	D79_JETN	D8_AphRR	D83_KAR	D85_KRO	IB02_AbuN	IB100_Maj	IB106_MoaR	IB110_N01D_1330	IB111_N02D_1952	IB120_Palm	IB121_Palu	IB125_POH285B	IB130_Qui	IB133_Ram	IB139_Sam	IB141_SenNZ	IB143_ShaxWin	IB15_BraS	IB150_SlaS	IB151_SloK	IB156_Sur400_024	IB16_Bra	IB164_Tai	IB169_TeqxAra	IB175_Tri	IB178_Vig	IB180_Vis	IB184_Yor	IB21_Cab	IB22_Cab	IB23_Can	IB24_CanxCou	IB28_Cas	IB29_Cat	IB37_ColxNic	IB45_Dim	IB49_Dup	IB50_DwaE	IB52_EngG	IB53_Erg	IB57_Exc	IB58_Exp	IB60_Fla	IB65_GroGS	IB70_HanxGas	IB73_Hug	IB86_LemM	IB91_LicxExp	IB99_MadxRec	NIN	R_A48_Dra	R_IB177_Vic	R_IB40_CouN	R_IB78_JauCV	TAP	D14_Bol
A_JCVI_10003	5.59343127	2.574766898	2.429578273	3.794029721	7.921821137	4.283325017	5.622507788	6.735284049	3.648834832	1.99418824	6.143167177	8.385144512	5.622013832	3.122880638	6.037484389	8.676366528	5.283079971	3.739882781	2.988296911	5.172191746	4.347442603	0.257555673	6.878850649	4.333797063	6.062496582	3.92682706	5.072243602	3.015603927	4.529878909	4.879593731	3.615996611	4.945602656	3.989128033	4.301258345	4.110115917	6.559233388	5.180249063	6.044765635	9.933069326	5.138954153	2.713561746	4.616804467	3.144851845	6.423952225	6.023021077	1.448617403	6.404243369	2.256509758	5.774085081	3.542750094	7.245178973	4.679582169	3.238331022	1.623746498	3.086279926	6.199094704	4.254500731	2.938251712	6.245337095	4.463854658	1.837676117	2.390599662	12.2336049	3.305512999	4.484326573	7.499271867	3.908620198	4.859321299	3.575879208	4.354051182	1.213971315	5.302274507	4.718071834	5.672415685	7.945804989	2.42907126	6.690074651	3.406889683	5.401046997	7.417542771	4.37770384	3.385899608	2.064580787	6.340436916	4.267160996	6.070977231	3.100291899	7.420934237	5.158893823	3.532879945	2.34401421	8.019127222	3.81181766	4.107241291	16.06488173	1.560819871	2.262401684	2.563879891	0.539379392	11.75031947	3.963692932
A_JCVI_10016	1.261691119	0.079650013	1.610541971	0	0	0.427432232	1.087071265	0	0	0	1.55634503	0.115800508	1.057598039	2.113252443	0	1.178792773	1.003525255	0	0.684759254	0.296298048	0.530871551	1.593488926	0.914358556	0	0	1.036988394	0.80762019	0	1.980113345	0	0	0.562468557	0	0	0.334594199	2.149458293	1.306387481	0.508135552	0	0.974832877	0	1.020143763	1.114729709	0.400653148	0.582253808	0.560159421	0	0	0	1.786865579	0.769068323	0	0	0	1.971737157	0	1.39838087	1.076380566	1.006242344	1.119637689	0	1.355801848	0.749395369	0.73039664	2.275906891	0	1.231516783	0	0	1.473192601	0	1.500228985	0	1.602899333	0.801529041	0.692106035	1.361555375	1.621409254	2.021135653	1.14730265	0.483655665	0	0.798343562	1.163544913	0.188577087	0.647602534	1.298741259	0.324856761	0.643506357	0.793227271	0	1.148474311	1.351143583	0.922186955	0	0.563310061	0.218709511	0	0	0.510525705	0.936651706
A_JCVI_10018	10.61947131	7.443780768	8.9981791	4.292112126	8.903025122	6.187312192	7.06737094	4.684116403	9.34288388	3.759977366	6.906376833	4.352432925	5.729797336	1.737804441	8.300455156	4.697688165	10.70378808	3.143078331	4.521381609	4.2138272	2.966006089	2.32689507	9.288304181	3.848769666	2.139793914	4.665062279	2.461208004	1.842628011	6.189086979	4.585124808	3.284638648	5.485160999	3.557405563	5.545219392	6.2029913	7.336487748	1.680947882	8.981496941	4.950628843	3.580177588	3.73065935	2.936154784	3.088289762	1.627977681	2.365877344	4.267689401	4.84138892	6.098225738	7.871619839	4.356352571	5.691895999	6.097333805	7.550143602	5.357662546	7.800941767	12.54664718	9.024438816	10.08373276	12.06158808	10.61534669	7.579422431	10.39205712	5.328794122	4.97111106	8.256887282	6.694902615	5.345217774	8.589462181	3.830798001	7.696333635	2.265060868	8.026261048	0.172398676	8.312741548	2.849752893	3.91704986	8.390838044	7.205939329	7.664999442	7.692045217	4.544623482	5.054003242	5.406528104	7.260615921	5.746852795	5.838439676	5.378671881	4.729976761	6.667651771	4.118441063	2.209781453	8.983217338	6.613092292	8.951479325	2.373133608	4.741299154	3.55473761	2.265990249	0.423742659	6.119550422	4.497888478
A_JCVI_10019	2.076349486	2.097264674	2.724072609	1.93150604	2.380547261	2.901607269	2.862367601	4.356353617	6.191962139	2.707261611	1.550234977	1.334000263	2.804100265	2.318502292	3.6019083	2.08914968	4.3646498	5.922139964	3.521562016	3.59615352	3.858615324	6.555962597	3.351485472	5.335880574	3.298828838	4.266397471	2.942986261	2.505388111	4.386641631	4.26203374	4.674086528	3.980284491	1.715227041	2.386245888	4.060951851	2.829869566	3.511512705	5.853626801	3.874188329	3.76386522	5.057092345	3.707433891	4.586242274	5.340734474	6.867156606	3.226466035	1.999266369	4.365320696	3.836524445	3.038643361	2.621695778	2.977915926	2.924944149	2.204358882	3.501036912	4.078603141	2.707409556	2.952310333	2.980729068	3.378052174	2.533765555	4.9695496	2.466541402	3.846415126	4.726378291	2.928434675	3.684894463	4.568163618	4.895900734	2.943932333	3.186674703	2.139720533	2.792938929	3.956807445	3.187743899	2.277980703	4.257320232	3.66895812	1.884822852	3.492988323	2.288345189	2.513773951	0.437941379	2.598699876	2.560296598	3.730130211	3.452597797	2.762165917	2.965229294	3.2635108	2.53579719	1.795528486	3.335340452	2.529386132	2.708686352	1.589198414	0.899818852	2.243394905	1.029724294	3.612713136	2.942741722
A_JCVI_1002	0.076842126	0.135828283	0.076291105	0	0.072552911	0.182226543	0.092689893	0	0	0	0	0.098738115	0	0	0	0.154631679	0	0	0.072983097	0.315800757	0.150883782	0.169837437	0.070875839	0.06212595	0	0.189470447	0	0	0	0.315461089	0	0	0	0	0	0.146620054	0.222780087	0	0.070430833	0.063938314	0.191719036	0	0.259222389	0.136647885	0.082743798	0.119405964	0.318723624	0.238078131	0.111986731	0	0.093678785	0.075263693	0.137769108	0.071382092	0.176970052	0.069284895	0.070137603	0.101975937	0	0.23866673	0	0	0	0	0	0	0.190920257	0.364128984	0	0	0	0	0	0	0	0.084304151	0.232187946	0.086406622	0.114889031	0.097825564	0	0.074424363	0	0.141729246	0.080395787	0.069022855	0	0.092330464	0	0.075150088	0	0.097925467	0	0	0	0	0.372968394	0.422668605	0	0	0
A_JCVI_10026	2.022319435	2.543542341	3.24339789	2.785689792	2.570395306	3.458517222	2.955425166	1.879341052	1.57858448	1.020497796	1.626041089	1.749040688	2.586245245	2.692434682	1.889020368	2.26956961	2.412771949	1.770633648	2.47482291	2.844986481	2.023650335	3.825079583	2.654464792	1.666464062	1.730070381	2.780907314	2.887742888	2.739726551	3.056476443	3.065448787	2.526749466	2.184550864	0.935532637	1.840391712	2.310254321	1.818052816	2.480539163	1.929672712	2.174401287	1.812158765	2.296409681	1.210641269	2.186594727	1.971037159	1.842617389	1.692119718	2.016375006	2.379762638	2.947249813	1.799244028	1.422360031	2.514064986	3.451469853	3.034698834	2.463085633	2.770210009	2.449328553	1.651561379	1.606666412	3.341917753	1.482159924	1.755249581	2.344608923	3.9399452	2.665823877	2.275284752	2.850500115	2.322056763	2.278341354	3.269530487	1.975115005	3.711813491	1.611232128	2.730456817	1.325919781	3.370723193	2.115237861	2.011647576	2.674751486	2.02994025	1.982810847	2.071690408	2.813559208	2.797506603	3.011008957	3.004266154	1.940051242	2.289750364	2.277131421	1.939754219	2.073077115	2.131135888	2.703338288	2.697290371	1.237270842	1.423818811	1.604493615	1.497424961	0.900064634	2.070936912	3.490844071
A_JCVI_1003	0.592113441	0.475743731	0.320655	0.210308653	0.559062532	0.255302162	0.194789927	0.510036489	4.744377082	3.254812142	0.293555862	0.276667205	0.772072417	0.781380667	0.348611091	0.541603343	0.3853275	1.406153542	0.153375645	0.265465002	0.211390477	0.832806924	0.397192518	0.34815761	0.36527512	0.619385623	0.275648951	0.348248677	0.272932452	0.176786316	1.252750095	0.537533403	0.846643033	0.713237424	0.299776021	0.359479624	0.520197158	0.182103401	0.641385351	0.179157103	0.179067526	0.152331112	0.423703601	0.47861442	0.347775963	0.50186872	0.39071957	0.166775544	0.156895116	0.426912724	0.393736212	0.421782323	0.193016619	0.150011098	0.80579765	0.485345968	0.540451171	1.142958721	0.901531846	0.167187861	1.202574007	0.662572292	0.671412602	0.392634539	0.32366253	0.393651211	0.468093827	0.408120201	0.650709907	0.691371388	0.350480297	0.418168734	0.76026066	0.90701063	0.159582488	0.1771671	0.271082373	0.242113988	0.482883848	0.27411021	0.577768019	0.260674166	0.715267202	0.148923624	0.168953583	0.821967598	1.074085899	0.19403458	0.691850997	0.36850246	0.487245593	0.342987675	1.02712684	0.48961383	0.253703716	1.105514717	0.391900799	0.148041288	0.124577474	0.54887992	0.203438272
A_JCVI_10036	1.334796098	1.101063954	1.678617716	1.738355436	1.008231781	0.738590941	0.966049065	1.433380868	2.579984225	2.233490829	0.970581899	1.372114557	1.276349086	0.794915071	1.44076332	0.895349863	1.911008832	4.250657469	1.774867256	1.389700004	1.48520288	2.163467657	1.887775491	1.870555887	2.079939539	1.974732544	1.139220488	1.791085969	1.87998927	1.607395582	3.020178988	1.444010187	1.811279756	1.600188419	1.486721356	0.764064783	1.80592082	0.903130992	2.039046489	1.332778504	1.924161965	1.343070391	2.001269356	2.84839172	3.353727645	0.829662695	1.384107486	2.136709604	1.815594667	1.293873947	1.410291522	1.656011783	1.116796857	0.826634581	1.127163103	1.684931134	1.137112013	1.653293786	1.391006898	2.11896	1.169430256	1.582142322	0.832457723	1.875127374	1.284148064	1.17137387	1.547655674	1.433700582	1.654952361	1.558552412	1.738186202	2.073882978	1.59197519	1.33281935	1.714786373	1.366788422	1.344416916	1.100687436	1.463509509	1.472719401	1.910270766	1.723730709	0.788294482	1.559219926	1.210322028	1.43876451	1.676976073	0.855380413	0.381243766	1.479458229	1.073984692	0.793812594	1.212851074	1.011754453	0.524261875	0.953519049	0.863826098	1.223669948	0.617834577	2.016398029	1.177096689
A_JCVI_1004	8.227406986	10.87261912	11.20239046	16.12331803	8.286042798	13.65756525	14.93357456	13.06698409	9.359750651	10.36977885	11.82249236	17.41827895	16.449499	14.96155961	14.20890723	17.66000419	16.20400209	15.55635283	9.228227242	10.30474984	12.07776364	14.89382291	16.83947086	14.69722482	12.99755639	17.58155076	10.93413162	9.744386829	14.83246707	13.31743076	12.0812473	19.85514007	14.86163962	11.64306138	13.89122208	10.54039287	14.23597681	23.6806186	16.73374137	14.79998735	12.90278559	16.40898731	17.35768443	17.06920565	20.50293489	10.83653234	15.68143781	14.01992856	15.47320112	14.08601687	12.22715802	9.823580398	12.01136239	9.462522696	10.64697168	12.64637058	13.08809126	17.98945944	16.01040619	11.19499803	8.237858455	8.573184994	15.96341343	17.08282604	21.10726128	18.56598733	13.82243848	22.72380109	10.56509766	19.6706461	14.38712988	14.43520822	8.337025891	10.04897779	30.31497338	12.29304031	10.97002259	17.09318789	14.05834257	13.46667679	10.09244038	12.44609994	16.77471889	13.2960185	8.525913794	12.59854104	13.1161056	17.60600956	18.68736122	15.09628288	23.01175329	15.377675	15.05832278	12.20522259	15.04928576	2.029065832	5.704762868	19.17936875	3.808204502	11.00824195	18.50862361
A_JCVI_10042	5.499115536	7.176736375	4.949431667	8.567274608	7.958081492	6.642289985	9.360930474	4.820957176	7.211868665	8.912313969	6.539798605	6.735885475	8.242658274	9.698461495	8.875784804	3.723151126	5.273197498	4.641377612	3.709757931	4.477738429	3.128340001	7.099424359	6.826064638	4.570623228	4.611278744	3.801652582	6.9742747	5.209102584	5.863197555	7.257949357	5.482046558	6.992601836	5.848619405	5.399156275	6.439857245	5.932782687	5.711663951	5.56371489	4.192398169	7.05593897	4.616123617	5.67218061	3.640839182	2.147733884	1.826245183	3.833336522	4.423255723	5.891568353	5.954473798	5.298821416	6.265430833	7.550687175	6.956783559	7.209014743	8.699550447	6.024092194	6.754964973	7.161379587	7.230314532	7.023510739	7.699536364	7.872372134	6.570678016	10.32986162	6.860286154	5.637670417	5.554576577	9.59535757	9.414713844	6.120906159	6.62560637	7.243593499	7.887796466	6.013768649	5.942191875	6.935276238	6.52226817	6.992654834	4.91777024	5.626787372	3.930385959	7.615812639	9.181380874	6.54061007	6.936377051	6.139800353	7.406391997	6.607520041	5.211050027	6.986408634	6.40949669	5.698028201	6.164183324	6.719831171	7.872397617	3.166522769	2.369765254	4.664376805	2.497788414	7.453180438	6.069871716
