#counts calculated with ./count-unique-hermes.pl
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl LG10.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 11:06:30 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 9.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:23:01 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 10.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:23:29 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl LG9.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:52:31 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 10-11.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:44:19 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 12-13.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:33:24 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 6.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:28:04 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 10.11.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 11:03:22 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 12.13.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:39:47 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 7.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:27:54 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 8.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:19:51 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl LG6.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 11:21:43 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl LG7.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 11:07:14 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl LG8.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:45:31 2016
#script ./hermes-counts-per-gene5.pl
#date Wed Feb  1 12:43:21 2017
#counts ../insertion-data/all-log.counts.2016-04-27.txt
#gff NA (anno:ID primarytag:CDS)
#bed all-genes.bed
#ipkm is (insert counts)/kb per million inserts in the sample
#uipkm is (unique insert positions)/kb per million unique insert positions in the sample (corrected in this version)
#total_insertions:	30219406
#total_unique_sites:	929053 
gene	len	sites	fwd	rev	min	max	mean	median	sitespernt	totalinserts	ipkm	uipkm
SPNCRNA.1595	1830	431	256	238	1	5332	39.2088167053364	20	0.23551912568306	16899	305.579342939706	253.504510165793
SPNCRNA.894	785	54	31	23	1	73	8.62962962962963	3	0.0687898089171975	466	19.644018590187	74.0429328759473
SPAC1F7.05	3032	33	20	13	1	2270	82.0909090909091	1	0.0108839050131926	2709	29.5660893199583	11.7150528690964
SPAC1782.11	1026	90	47	46	1	63	4.92222222222222	5	0.087719298245614	443	14.2879671143205	94.4179699603941
SPBC11B10.02c	1738	97	48	53	1	208	13.5051546391753	13	0.0558112773302647	1310	24.9422484000884	60.0732975731898
SPAC1782.12c	1911	209	114	113	1	2224	24.488038277512	1	0.109366823652538	5118	88.6244740844095	117.718605561295
SPCC1450.10c	2136	45	18	27	1	21	3.2	1	0.0210674157303371	144	2.23087542942037	22.6762259314991
SPBC2G5.01	1369	99	54	50	1	774	18.3737373737374	3	0.0723155588020453	1819	43.968669849561	77.8379261485031
SPBC3D6.04c	2221	110	59	54	1	5101	58.2545454545455	2	0.0495272399819901	6408	95.4746381437485	53.3093806079848
SPCC1739.11c	3507	57	42	16	1	675	21.0877192982456	1	0.0162532078699743	1202	11.3418207246713	17.494381773671
SPBC1105.15c	1674	112	54	66	1	2027	27.0535714285714	7	0.0669056152927121	3030	59.8964732229981	72.0148530737343
SPATRNAGLY.01	71	11	5	6	1	22	5.90909090909091	3	0.154929577464789	65	30.2948693877861	166.760752577936
SPNCRNA.576	2584	53	16	38	1	28	2.88679245283019	5	0.0205108359133127	153	1.95935440676066	22.0771429760333
SPAC4G8.06c	1378	108	49	62	1	271	15.1481481481481	3	0.0783744557329463	1636	39.2869359004988	84.3595098804334
SPATRNALEU.01	94	1	1	0	2	2	2	2	0.0106382978723404	2	0.704070614249693	11.4506899739201
SPAC3A11.11c	1820	107	52	60	1	532	14.785046728972	2	0.0587912087912088	1582	28.7639925560009	63.2807910756531
SPBC3H7.11	903	41	22	20	1	534	19.1219512195122	1	0.0454042081949059	784	28.7304473907782	48.871494085812
SPAC24C9.07c	6069	343	189	160	1	500	14.3469387755102	2	0.0565167243367935	4921	26.8318306406276	60.8326159398802
SPBC119.18	759	48	29	28	1	605	27.6458333333333	2	0.0632411067193676	1327	57.8553098025548	68.0705048252011
SPAC20G8.10c	1598	61	30	35	1	351	22.2622950819672	1	0.0381727158948686	1358	28.1214086515024	41.0877699064193
SPBC15D4.01c	2362	190	98	102	1	1044	21.6368421052632	8	0.0804403048264183	4111	57.5945858905516	86.5831172456451
SPBC1539.09c	2280	23	10	13	1	323	29.9565217391304	1	0.0100877192982456	689	9.99996434265254	10.8580665454453
SPAC24H6.02c	1144	116	59	63	1	467	19.6293103448276	1	0.101398601398601	2277	65.8644519811083	109.141891150022
SPBC800.04c	520	20	11	9	1	4	1.7	1	0.0384615384615385	34	2.16366315686733	41.3986483672497
SPNCRNA.1439	1131	60	33	30	1	122	7.78333333333333	1	0.0530503978779841	467	13.6637010717653	57.1015839548272
SPBC800.12c	1345	144	78	72	1	184	12.2708333333333	7	0.107063197026022	1767	43.4738739351842	115.239062815601
SPBC1685.07c	3434	277	158	130	1	1103	17.5342960288809	3	0.080663948747816	4857	46.8038834450511	86.8238397032418
SPNCRNA.889	857	79	50	30	1	126	12.3670886075949	1	0.0921820303383897	977	37.7248757709821	99.2214979537117
SPAC17A2.05	2424	173	93	86	1	744	18.8208092485549	1	0.0713696369636964	3256	44.4493953134732	76.8197691237167
SPATRNAGLU.01	72	13	9	6	1	41	7.30769230769231	41	0.180555555555556	95	43.6621568420122	194.343654835145
SPNCRNA.1289	1419	71	32	41	1	125	8.33802816901408	2	0.0500352360817477	592	13.805539655309	53.8561697575356
SPBC2A9.07c	1711	160	82	93	1	541	21.125	1	0.0935125657510228	3380	65.3703435299276	100.653639513594
SPNCRNA.1009	592	62	38	28	1	223	17.4193548387097	127	0.10472972972973	1080	60.3692979380311	112.727400621633
